geoid,name,total,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,other_alone,two_or_more_races,latino_alone,county,state,tract,asian_all,other_all
16051960300,"Census Tract 9603, Jefferson County, Idaho",8363.0,7649.0,13.0,4.0,37.0,0.0,0.0,223.0,437.0,051,16,960300,37.0,227.0
16027021500,"Census Tract 215, Canyon County, Idaho",5103.0,3970.0,84.0,22.0,46.0,0.0,0.0,185.0,796.0,027,16,021500,46.0,207.0
16027020100,"Census Tract 201, Canyon County, Idaho",1016.0,769.0,0.0,5.0,0.0,6.0,0.0,34.0,202.0,027,16,020100,6.0,39.0
16027020300,"Census Tract 203, Canyon County, Idaho",4872.0,3180.0,18.0,222.0,156.0,9.0,0.0,0.0,1287.0,027,16,020300,165.0,222.0
16027021600,"Census Tract 216, Canyon County, Idaho",4231.0,2623.0,34.0,29.0,0.0,0.0,0.0,108.0,1437.0,027,16,021600,0.0,137.0
16027021100,"Census Tract 211, Canyon County, Idaho",17345.0,13628.0,65.0,90.0,206.0,32.0,0.0,563.0,2761.0,027,16,021100,238.0,653.0
16035970100,"Census Tract 9701, Clearwater County, Idaho",2904.0,2767.0,3.0,0.0,0.0,6.0,0.0,67.0,61.0,035,16,970100,6.0,67.0
16051960100,"Census Tract 9601, Jefferson County, Idaho",3387.0,2384.0,6.0,5.0,33.0,0.0,0.0,17.0,942.0,051,16,960100,33.0,22.0
16057005100,"Census Tract 51, Latah County, Idaho",8223.0,7158.0,0.0,87.0,244.0,0.0,0.0,227.0,507.0,057,16,005100,244.0,314.0
16057005700,"Census Tract 57, Latah County, Idaho",3119.0,2919.0,7.0,70.0,12.0,3.0,3.0,41.0,64.0,057,16,005700,15.0,114.0
16051960200,"Census Tract 9602, Jefferson County, Idaho",3987.0,3644.0,0.0,12.0,0.0,7.0,0.0,154.0,170.0,051,16,960200,7.0,166.0
16051960400,"Census Tract 9604, Jefferson County, Idaho",11673.0,10189.0,0.0,65.0,0.0,55.0,0.0,55.0,1309.0,051,16,960400,55.0,120.0
16057005500,"Census Tract 55, Latah County, Idaho",3985.0,3770.0,55.0,5.0,22.0,5.0,0.0,95.0,33.0,057,16,005500,27.0,100.0
16057005600,"Census Tract 56, Latah County, Idaho",3588.0,3342.0,13.0,20.0,24.0,0.0,17.0,86.0,86.0,057,16,005600,24.0,123.0
16057005200,"Census Tract 52, Latah County, Idaho",6534.0,6174.0,0.0,45.0,232.0,0.0,0.0,61.0,22.0,057,16,005200,232.0,106.0
16057005300,"Census Tract 53, Latah County, Idaho",6771.0,5724.0,145.0,2.0,243.0,0.0,0.0,168.0,489.0,057,16,005300,243.0,170.0
16057005400,"Census Tract 54, Latah County, Idaho",6477.0,5514.0,56.0,69.0,234.0,7.0,17.0,169.0,411.0,057,16,005400,241.0,255.0
16017950200,"Census Tract 9502, Bonner County, Idaho",9231.0,8589.0,15.0,69.0,14.0,0.0,0.0,193.0,351.0,017,16,950200,14.0,262.0
16009950100,"Census Tract 9501, Benewah County, Idaho",4386.0,4142.0,0.0,1.0,80.0,14.0,0.0,68.0,81.0,009,16,950100,94.0,69.0
16017950500,"Census Tract 9505, Bonner County, Idaho",3424.0,3257.0,0.0,11.0,19.0,0.0,0.0,50.0,87.0,017,16,950500,19.0,61.0
16017950400,"Census Tract 9504, Bonner County, Idaho",7135.0,6760.0,0.0,12.0,14.0,0.0,0.0,53.0,296.0,017,16,950400,14.0,65.0
16017950800,"Census Tract 9508, Bonner County, Idaho",5895.0,5379.0,0.0,0.0,199.0,0.0,0.0,225.0,92.0,017,16,950800,199.0,225.0
16017950300,"Census Tract 9503, Bonner County, Idaho",3288.0,3020.0,14.0,13.0,1.0,8.0,0.0,73.0,159.0,017,16,950300,9.0,86.0
16017950100,"Census Tract 9501, Bonner County, Idaho",1998.0,1859.0,0.0,39.0,18.0,0.0,0.0,68.0,14.0,017,16,950100,18.0,107.0
16017950600,"Census Tract 9506, Bonner County, Idaho",1975.0,1837.0,0.0,0.0,13.0,0.0,0.0,79.0,46.0,017,16,950600,13.0,79.0
16017950900,"Census Tract 9509, Bonner County, Idaho",4114.0,3897.0,22.0,13.0,0.0,16.0,0.0,26.0,140.0,017,16,950900,16.0,39.0
16017950700,"Census Tract 9507, Bonner County, Idaho",4795.0,4559.0,0.0,104.0,23.0,0.0,0.0,84.0,25.0,017,16,950700,23.0,188.0
16033950100,"Census Tract 9501, Clark County, Idaho",1055.0,542.0,2.0,60.0,0.0,0.0,0.0,8.0,443.0,033,16,950100,0.0,68.0
16001002412,"Census Tract 24.12, Ada County, Idaho",4016.0,3728.0,0.0,12.0,65.0,0.0,0.0,72.0,139.0,001,16,002412,65.0,84.0
